transaction_id,date,expected_rzp_amount,actual_bank_amount,bank_narration,true_anomaly_type
txn_d3abcb62,2026-08-15,706.29,706.29,NEFT-RZP-SETTLEMENT-TXN_D3ABCB62,CLEAN
txn_34ee5a82,2026-08-24,3874.02,3874.02,NEFT-RZP-SETTLEMENT-TXN_34EE5A82,CLEAN
txn_404b483a,2026-08-24,3311.09,3311.09,NEFT-RZP-SETTLEMENT-TXN_404B483A,CLEAN
txn_64b187fc,2026-08-25,4826.0,4826.0,NEFT-RZP-SETTLEMENT-TXN_64B187FC,CLEAN
txn_d4b0cd7d,2026-08-02,2333.25,2333.25,NEFT-RZP-SETTLEMENT-TXN_D4B0CD7D,CLEAN
txn_ffff0e1b,2026-07-29,4816.71,4816.71,NEFT-RZP-SETTLEMENT-TXN_FFFF0E1B,CLEAN
txn_94f68531,2026-08-17,4074.79,4074.79,NEFT-RZP-SETTLEMENT-TXN_94F68531,CLEAN
txn_2b5ca8cf,2026-07-26,3214.62,3214.62,NEFT-RZP-SETTLEMENT-TXN_2B5CA8CF,CLEAN
txn_e8b74c00,2026-08-19,4519.7,4519.7,NEFT-RZP-SETTLEMENT-TXN_E8B74C00,CLEAN
txn_91467e5b,2026-07-31,1121.82,1121.82,NEFT-RZP-SETTLEMENT-TXN_91467E5B,CLEAN
txn_41ebc8f3,2026-08-14,4507.19,4507.19,SYSTEM_ERR_RETRY_3406_RZP,GARBLED_DESC
txn_2b250f28,2026-08-06,789.42,789.42,NEFT-RZP-SETTLEMENT-TXN_2B250F28,CLEAN
txn_b4ce83ff,2026-08-07,3673.22,3673.22,SYSTEM_ERR_RETRY_5960_RZP,GARBLED_DESC
txn_cb58420e,2026-08-21,4964.01,4964.01,NEFT-RZP-SETTLEMENT-TXN_CB58420E,CLEAN
txn_446ce768,2026-08-24,778.96,778.96,NEFT-RZP-SETTLEMENT-TXN_446CE768,CLEAN
txn_12846b27,2026-08-25,3334.61,3334.61,NEFT-RZP-SETTLEMENT-TXN_12846B27,CLEAN
txn_4df4d752,2026-08-16,732.48,732.48,NEFT-RZP-SETTLEMENT-TXN_4DF4D752,CLEAN
txn_d9a08557,2026-08-06,2113.38,2113.38,NEFT-RZP-SETTLEMENT-TXN_D9A08557,CLEAN
txn_7966c922,2026-07-30,4597.39,4597.39,NEFT-RZP-SETTLEMENT-TXN_7966C922,CLEAN
txn_1ec34a35,2026-08-10,2561.94,2411.94,NEFT-RZP-CUST-REFUND-DED-TXN_1EC34A35,PARTIAL_REFUND
txn_5b532fd6,2026-08-15,3745.15,3745.15,NEFT-RZP-SETTLEMENT-TXN_5B532FD6,CLEAN
txn_4f752ae4,2026-08-09,2657.6,2657.6,NEFT-RZP-SETTLEMENT-TXN_4F752AE4,CLEAN
txn_b480521a,2026-08-08,1782.23,1782.23,NEFT-RZP-SETTLEMENT-TXN_B480521A,CLEAN
txn_e0d928ba,2026-08-06,2140.01,2140.01,NEFT-RZP-SETTLEMENT-TXN_E0D928BA,CLEAN
txn_737420f4,2026-07-31,855.86,855.86,NEFT-RZP-SETTLEMENT-TXN_737420F4,CLEAN
txn_c6d0a671,2026-08-10,941.75,941.75,NEFT-RZP-SETTLEMENT-TXN_C6D0A671,CLEAN
txn_d9c37bf7,2026-08-25,911.16,911.16,NEFT-RZP-SETTLEMENT-TXN_D9C37BF7,CLEAN
txn_ce3566eb,2026-08-23,4866.7,4866.7,NEFT-RZP-SETTLEMENT-TXN_CE3566EB,CLEAN
txn_2c1276c7,2026-08-12,2725.38,2725.38,NEFT-RZP-SETTLEMENT-TXN_2C1276C7,CLEAN
txn_fb9acea3,2026-08-10,1586.57,1586.57,NEFT-RZP-SETTLEMENT-TXN_FB9ACEA3,CLEAN
txn_9c57c48d,2026-07-26,3518.28,3518.28,NEFT-RZP-SETTLEMENT-TXN_9C57C48D,CLEAN
txn_934b811e,2026-08-19,997.6,997.6,NEFT-RZP-SETTLEMENT-TXN_934B811E,CLEAN
txn_38f16e41,2026-08-10,2886.34,2886.34,NEFT-RZP-SETTLEMENT-TXN_38F16E41,CLEAN
txn_f1214986,2026-07-27,1049.42,1049.42,NEFT-RZP-SETTLEMENT-TXN_F1214986,CLEAN
txn_9c9f88cb,2026-08-11,3212.08,3212.08,NEFT-RZP-SETTLEMENT-TXN_9C9F88CB,CLEAN
txn_b091f620,2026-08-07,3491.81,3341.81,NEFT-RZP-CUST-REFUND-DED-TXN_B091F620,PARTIAL_REFUND
txn_14cc0562,2026-08-18,2931.39,2931.39,NEFT-RZP-SETTLEMENT-TXN_14CC0562,CLEAN
txn_4af9ccdb,2026-08-17,833.35,833.35,NEFT-RZP-SETTLEMENT-TXN_4AF9CCDB,CLEAN
txn_15fb101d,2026-08-22,618.3,618.3,NEFT-RZP-SETTLEMENT-TXN_15FB101D,CLEAN
txn_fe7a056f,2026-07-29,1694.41,1694.41,NEFT-RZP-SETTLEMENT-TXN_FE7A056F,CLEAN
txn_a4ebcffc,2026-08-02,3183.05,3183.05,NEFT-RZP-SETTLEMENT-TXN_A4EBCFFC,CLEAN
txn_4022377a,2026-07-28,861.78,861.78,NEFT-RZP-SETTLEMENT-TXN_4022377A,CLEAN
txn_8b8181f7,2026-08-22,4801.94,4651.94,NEFT-RZP-CUST-REFUND-DED-TXN_8B8181F7,PARTIAL_REFUND
txn_e934de62,2026-08-17,2119.47,2119.47,NEFT-RZP-SETTLEMENT-TXN_E934DE62,CLEAN
txn_68d3a298,2026-08-04,3606.43,3606.43,NEFT-RZP-SETTLEMENT-TXN_68D3A298,CLEAN
txn_a248d8e7,2026-08-21,4111.48,4111.48,NEFT-RZP-SETTLEMENT-TXN_A248D8E7,CLEAN
txn_78ceaeab,2026-07-28,2526.91,2526.91,NEFT-RZP-SETTLEMENT-TXN_78CEAEAB,CLEAN
txn_1d4cee7e,2026-08-03,3061.59,3061.59,NEFT-RZP-SETTLEMENT-TXN_1D4CEE7E,CLEAN
txn_41ba5883,2026-08-14,3512.21,3512.21,NEFT-RZP-SETTLEMENT-TXN_41BA5883,CLEAN
txn_00bf4eca,2026-08-22,2476.87,2476.87,NEFT-RZP-SETTLEMENT-TXN_00BF4ECA,CLEAN
txn_ac4a091e,2026-07-31,3154.8,3091.7,RTGS-RZP-TDS-ADJ-TXN_,TAX_DEDUCTION
txn_163edbf7,2026-07-26,3948.86,3948.86,NEFT-RZP-SETTLEMENT-TXN_163EDBF7,CLEAN
txn_78c3ff04,2026-08-03,4281.82,4281.82,NEFT-RZP-SETTLEMENT-TXN_78C3FF04,CLEAN
txn_81052ef2,2026-08-15,3894.27,3894.27,NEFT-RZP-SETTLEMENT-TXN_81052EF2,CLEAN
txn_1ee51384,2026-08-09,780.03,780.03,NEFT-RZP-SETTLEMENT-TXN_1EE51384,CLEAN
txn_36571a40,2026-07-27,2897.87,2897.87,NEFT-RZP-SETTLEMENT-TXN_36571A40,CLEAN
txn_494cedd2,2026-08-21,2741.26,2741.26,NEFT-RZP-SETTLEMENT-TXN_494CEDD2,CLEAN
txn_c05d1878,2026-08-08,864.51,864.51,NEFT-RZP-SETTLEMENT-TXN_C05D1878,CLEAN
txn_6037dc8e,2026-08-18,4242.13,4242.13,SYSTEM_ERR_RETRY_2957_RZP,GARBLED_DESC
txn_7cd70042,2026-07-30,3481.09,3481.09,NEFT-RZP-SETTLEMENT-TXN_7CD70042,CLEAN
txn_5a88c1cc,2026-08-19,2428.94,2428.94,NEFT-RZP-SETTLEMENT-TXN_5A88C1CC,CLEAN
txn_286c3401,2026-08-16,3833.28,3833.28,NEFT-RZP-SETTLEMENT-TXN_286C3401,CLEAN
txn_672b98be,2026-08-18,3219.63,3219.63,NEFT-RZP-SETTLEMENT-TXN_672B98BE,CLEAN
txn_23b6c415,2026-07-27,4241.73,4241.73,NEFT-RZP-SETTLEMENT-TXN_23B6C415,CLEAN
txn_4992cb20,2026-08-17,4361.69,4361.69,NEFT-RZP-SETTLEMENT-TXN_4992CB20,CLEAN
txn_3879658f,2026-08-16,1768.76,1768.76,NEFT-RZP-SETTLEMENT-TXN_3879658F,CLEAN
